user_id,role,day,login_hour,files_accessed,session_minutes
U01,employee,1,18,3,31
U01,employee,2,11,5,38
U01,employee,3,18,13,87
U01,employee,4,1,79,309
U01,employee,5,17,2,65
U01,employee,6,18,13,64
U01,employee,7,15,11,47
U01,employee,8,8,14,81
U01,employee,9,14,7,47
U01,employee,10,13,3,35
U01,employee,11,13,15,52
U01,employee,12,8,13,59
U01,employee,13,14,3,65
U01,employee,14,18,11,86
U01,employee,15,17,5,75
U01,employee,16,18,5,79
U01,employee,17,9,15,44
U01,employee,18,14,6,59
U01,employee,19,13,4,53
U01,employee,20,18,6,74
U01,employee,21,18,3,68
U01,employee,22,16,13,45
U01,employee,23,14,6,89
U01,employee,24,16,5,73
U01,employee,25,2,101,248
U01,employee,26,9,5,88
U01,employee,27,13,5,71
U01,employee,28,18,9,39
U01,employee,29,11,13,65
U01,employee,30,17,8,87
U02,employee,1,13,5,38
U02,employee,2,9,14,33
U02,employee,3,10,12,40
U02,employee,4,14,11,34
U02,employee,5,17,9,63
U02,employee,6,5,64,354
U02,employee,7,16,14,47
U02,employee,8,13,3,48
U02,employee,9,15,2,76
U02,employee,10,12,10,78
U02,employee,11,9,15,70
U02,employee,12,18,10,68
U02,employee,13,13,14,40
U02,employee,14,16,2,68
U02,employee,15,8,3,89
U02,employee,16,12,5,33
U02,employee,17,17,3,35
U02,employee,18,9,14,64
U02,employee,19,10,12,60
U02,employee,20,10,6,63
U02,employee,21,14,5,89
U02,employee,22,11,13,49
U02,employee,23,18,12,53
U02,employee,24,16,9,37
U02,employee,25,9,7,31
U02,employee,26,5,57,238
U02,employee,27,9,2,85
U02,employee,28,16,5,47
U02,employee,29,11,10,38
U02,employee,30,17,11,60
U03,employee,1,15,14,56
U03,employee,2,9,12,57
U03,employee,3,14,9,85
U03,employee,4,18,12,71
U03,employee,5,14,13,51
U03,employee,6,9,5,42
U03,employee,7,15,4,57
U03,employee,8,15,5,85
U03,employee,9,15,14,85
U03,employee,10,9,2,71
U03,employee,11,8,3,89
U03,employee,12,11,4,56
U03,employee,13,11,15,55
U03,employee,14,10,8,30
U03,employee,15,12,14,80
U03,employee,16,14,13,76
U03,employee,17,16,12,75
U03,employee,18,11,6,43
U03,employee,19,17,13,64
U03,employee,20,13,2,33
U03,employee,21,16,15,63
U03,employee,22,16,3,84
U03,employee,23,17,3,73
U03,employee,24,14,3,90
U03,employee,25,0,103,348
U03,employee,26,17,11,63
U03,employee,27,12,5,72
U03,employee,28,11,6,55
U03,employee,29,18,6,59
U03,employee,30,9,2,59
U04,employee,1,17,3,34
U04,employee,2,16,6,38
U04,employee,3,9,5,53
U04,employee,4,15,15,64
U04,employee,5,17,14,71
U04,employee,6,18,15,65
U04,employee,7,18,3,90
U04,employee,8,12,3,86
U04,employee,9,16,4,47
U04,employee,10,11,13,51
U04,employee,11,18,15,46
U04,employee,12,12,15,33
U04,employee,13,2,66,343
U04,employee,14,12,4,77
U04,employee,15,14,10,30
U04,employee,16,10,10,32
U04,employee,17,17,10,39
U04,employee,18,8,6,53
U04,employee,19,8,7,43
U04,employee,20,18,3,52
U04,employee,21,14,11,77
U04,employee,22,11,15,40
U04,employee,23,10,8,31
U04,employee,24,13,14,89
U04,employee,25,18,15,77
U04,employee,26,12,4,80
U04,employee,27,14,15,32
U04,employee,28,11,5,82
U04,employee,29,13,6,82
U04,employee,30,11,5,31
U05,employee,1,14,7,47
U05,employee,2,12,7,71
U05,employee,3,18,15,64
U05,employee,4,8,3,86
U05,employee,5,4,105,268
U05,employee,6,13,8,68
U05,employee,7,9,8,87
U05,employee,8,12,2,75
U05,employee,9,16,14,64
U05,employee,10,18,5,53
U05,employee,11,18,7,69
U05,employee,12,9,13,87
U05,employee,13,12,12,56
U05,employee,14,12,10,38
U05,employee,15,18,8,73
U05,employee,16,10,11,66
U05,employee,17,16,15,30
U05,employee,18,11,8,80
U05,employee,19,18,7,59
U05,employee,20,18,5,62
U05,employee,21,10,12,35
U05,employee,22,18,12,69
U05,employee,23,11,12,49
U05,employee,24,3,59,296
U05,employee,25,14,12,66
U05,employee,26,14,9,55
U05,employee,27,18,13,30
U05,employee,28,9,14,57
U05,employee,29,16,9,33
U05,employee,30,9,9,38
U06,employee,1,18,10,65
U06,employee,2,15,11,82
U06,employee,3,16,8,83
U06,employee,4,15,4,77
U06,employee,5,15,6,78
U06,employee,6,18,6,79
U06,employee,7,15,12,45
U06,employee,8,9,13,48
U06,employee,9,13,7,87
U06,employee,10,10,4,44
U06,employee,11,10,13,43
U06,employee,12,14,7,64
U06,employee,13,8,5,83
U06,employee,14,17,13,31
U06,employee,15,2,88,279
U06,employee,16,14,10,77
U06,employee,17,17,5,61
U06,employee,18,14,9,31
U06,employee,19,18,12,81
U06,employee,20,10,15,59
U06,employee,21,17,10,31
U06,employee,22,5,104,214
U06,employee,23,15,4,33
U06,employee,24,13,5,59
U06,employee,25,14,6,78
