user_id,role,day,login_hour,files_accessed,session_minutes
D1_U01,employee,1,22,9,108
D1_U01,employee,2,21,7,66
D1_U01,employee,3,3,8,103
D1_U01,employee,4,21,12,122
D1_U01,employee,5,20,10,56
D1_U01,employee,6,2,10,101
D1_U01,employee,7,19,8,70
D1_U01,employee,8,0,8,116
D1_U01,employee,9,14,6,46
D1_U01,employee,10,22,12,60
D1_U01,employee,11,10,13,66
D1_U01,employee,12,2,9,7
D1_U01,employee,13,9,11,150
D1_U01,employee,14,21,17,80
D1_U01,employee,15,7,10,45
D1_U01,employee,16,6,14,76
D1_U01,employee,17,1,16,70
D1_U01,employee,18,16,9,73
D1_U01,employee,19,6,6,54
D1_U01,employee,20,15,8,53
D1_U01,employee,21,3,9,101
D1_U01,employee,22,12,10,86
D1_U01,employee,23,3,11,140
D1_U01,employee,24,16,6,116
D1_U01,employee,25,23,10,74
D1_U01,employee,26,23,15,125
D1_U01,employee,27,23,10,74
D1_U01,employee,28,16,8,65
D1_U01,employee,29,9,11,144
D1_U01,employee,30,17,12,7
D1_U02,manager,1,19,9,164
D1_U02,manager,2,11,7,63
D1_U02,manager,3,12,16,73
D1_U02,manager,4,8,12,80
D1_U02,manager,5,23,7,97
D1_U02,manager,6,14,9,176
D1_U02,manager,7,14,9,44
D1_U02,manager,8,6,9,111
D1_U02,manager,9,3,11,152
D1_U02,manager,10,21,10,55
D1_U02,manager,11,15,14,157
D1_U02,manager,12,21,9,109
D1_U02,manager,13,23,14,114
D1_U02,manager,14,10,11,23
D1_U02,manager,15,23,14,122
D1_U02,manager,16,17,10,79
D1_U02,manager,17,12,10,80
D1_U02,manager,18,12,16,101
D1_U02,manager,19,3,12,56
D1_U02,manager,20,4,9,64
D1_U02,manager,21,19,13,83
D1_U02,manager,22,21,8,67
D1_U02,manager,23,14,10,48
D1_U02,manager,24,21,10,155
D1_U02,manager,25,2,10,70
D1_U02,manager,26,0,7,31
D1_U02,manager,27,21,8,34
D1_U02,manager,28,12,3,21
D1_U02,manager,29,3,12,129
D1_U02,manager,30,2,14,86
D1_U03,employee,1,2,11,63
D1_U03,employee,2,12,12,5
D1_U03,employee,3,5,8,52
D1_U03,employee,4,12,6,75
D1_U03,employee,5,8,12,87
D1_U03,employee,6,4,14,145
D1_U03,employee,7,15,8,5
D1_U03,employee,8,2,9,94
D1_U03,employee,9,15,5,108
D1_U03,employee,10,3,14,71
D1_U03,employee,11,21,9,109
D1_U03,employee,12,17,9,130
D1_U03,employee,13,8,12,61
D1_U03,employee,14,7,16,34
D1_U03,employee,15,7,7,55
D1_U03,employee,16,3,10,60
D1_U03,employee,17,23,6,71
D1_U03,employee,18,2,7,77
D1_U03,employee,19,19,10,34
D1_U03,employee,20,9,9,54
D1_U03,employee,21,23,10,99
D1_U03,employee,22,8,12,149
D1_U03,employee,23,0,12,98
D1_U03,employee,24,9,14,49
D1_U03,employee,25,0,7,152
D1_U03,employee,26,7,7,64
D1_U03,employee,27,22,14,90
D1_U03,employee,28,2,9,100
D1_U03,employee,29,17,10,52
D1_U03,employee,30,23,7,64
D1_U04,contractor,1,16,6,106
