user_id,role,day,login_hour,files_accessed,session_minutes
D2_U01,contractor,1,10,14,61
D2_U01,contractor,2,7,11,108
D2_U01,contractor,3,4,11,126
D2_U01,contractor,4,18,12,111
D2_U01,contractor,5,14,13,130
D2_U01,contractor,6,10,16,123
D2_U01,contractor,7,20,10,105
D2_U01,contractor,8,15,12,48
D2_U01,contractor,9,5,11,36
D2_U01,contractor,10,12,7,138
D2_U01,contractor,11,20,13,21
D2_U01,contractor,12,18,9,132
D2_U01,contractor,13,15,10,218
D2_U01,contractor,14,6,12,54
D2_U01,contractor,15,11,11,48
D2_U01,contractor,16,3,8,99
D2_U01,contractor,17,19,10,51
D2_U01,contractor,18,15,9,166
D2_U01,contractor,19,11,11,48
D2_U01,contractor,20,7,12,129
D2_U01,contractor,21,13,7,166
D2_U01,contractor,22,17,8,112
D2_U01,contractor,23,22,12,103
D2_U01,contractor,24,18,9,115
D2_U01,contractor,25,6,11,103
D2_U01,contractor,26,1,11,5
D2_U01,contractor,27,8,13,63
D2_U01,contractor,28,0,5,157
D2_U01,contractor,29,13,11,58
D2_U01,contractor,30,4,9,126
D2_U02,manager,1,2,14,96
D2_U02,manager,2,18,9,190
D2_U02,manager,3,6,5,77
D2_U02,manager,4,17,10,121
D2_U02,manager,5,15,8,100
D2_U02,manager,6,13,9,135
D2_U02,manager,7,9,10,85
D2_U02,manager,8,19,13,69
D2_U02,manager,9,13,14,112
D2_U02,manager,10,13,6,89
D2_U02,manager,11,23,18,133
D2_U02,manager,12,0,8,23
D2_U02,manager,13,22,15,164
D2_U02,manager,14,7,15,77
D2_U02,manager,15,18,15,64
D2_U02,manager,16,22,8,94
D2_U02,manager,17,14,8,103
D2_U02,manager,18,4,7,58
D2_U02,manager,19,5,12,114
D2_U02,manager,20,17,10,80
D2_U02,manager,21,4,10,57
D2_U02,manager,22,16,5,60
D2_U02,manager,23,8,11,48
D2_U02,manager,24,7,6,109
D2_U02,manager,25,14,4,119
D2_U02,manager,26,17,9,60
D2_U02,manager,27,8,13,134
D2_U02,manager,28,8,9,57
D2_U02,manager,29,16,8,124
D2_U02,manager,30,10,13,58
D2_U03,contractor,1,5,10,82
D2_U03,contractor,2,3,13,74
D2_U03,contractor,3,9,9,136
D2_U03,contractor,4,19,7,71
D2_U03,contractor,5,11,16,86
D2_U03,contractor,6,23,11,79
D2_U03,contractor,7,15,12,127
D2_U03,contractor,8,8,5,39
D2_U03,contractor,9,13,7,79
D2_U03,contractor,10,9,9,150
D2_U03,contractor,11,7,7,117
D2_U03,contractor,12,4,8,105
D2_U03,contractor,13,6,6,96
D2_U03,contractor,14,5,13,33
D2_U03,contractor,15,13,8,175
D2_U03,contractor,16,20,14,111
D2_U03,contractor,17,12,9,93
D2_U03,contractor,18,13,7,165
D2_U03,contractor,19,4,11,82
D2_U03,contractor,20,10,12,157
D2_U03,contractor,21,20,10,92
D2_U03,contractor,22,10,12,111
D2_U03,contractor,23,10,7,55
D2_U03,contractor,24,23,15,99
D2_U03,contractor,25,6,9,29
D2_U03,contractor,26,2,15,70
D2_U03,contractor,27,10,8,131
D2_U03,contractor,28,1,15,68
D2_U03,contractor,29,12,14,93
D2_U03,contractor,30,6,9,87
D2_U04,employee,1,23,8,103
D2_U04,employee,2,5,14,79
D2_U04,employee,3,10,11,127
D2_U04,employee,4,7,12,78
D2_U04,employee,5,11,13,43
D2_U04,employee,6,14,10,84
D2_U04,employee,7,1,12,99
D2_U04,employee,8,23,9,93
D2_U04,employee,9,21,7,89
D2_U04,employee,10,12,8,75
D2_U04,employee,11,23,8,96
D2_U04,employee,12,23,3,57
D2_U04,employee,13,16,6,118
D2_U04,employee,14,19,8,102
D2_U04,employee,15,8,6,79
D2_U04,employee,16,17,14,167
D2_U04,employee,17,10,6,131
D2_U04,employee,18,4,11,38
D2_U04,employee,19,12,9,58
D2_U04,employee,20,7,9,107
D2_U04,employee,21,8,10,86
D2_U04,employee,22,20,7,69
D2_U04,employee,23,6,11,137
D2_U04,employee,24,17,8,184
D2_U04,employee,25,2,10,48
D2_U04,employee,26,3,16,187
D2_U04,employee,27,3,12,101
D2_U04,employee,28,7,6,106
D2_U04,employee,29,10,9,83
D2_U04,employee,30,22,10,111
D2_U05,manager,1,21,10,98
D2_U05,manager,2,18,8,50
D2_U05,manager,3,2,9,24
D2_U05,manager,4,15,5,92
D2_U05,manager,5,21,12,23
D2_U05,manager,6,3,9,5
D2_U05,manager,7,3,11,10
D2_U05,manager,8,1,18,113
D2_U05,manager,9,17,11,50
D2_U05,manager,10,11,5,31
D2_U05,manager,11,20,10,23
D2_U05,manager,12,23,11,76
D2_U05,manager,13,15,10,60
D2_U05,manager,14,15,9,30
D2_U05,manager,15,3,13,41
D2_U05,manager,16,10,6,93
D2_U05,manager,17,2,8,116
D2_U05,manager,18,5,9,45
D2_U05,manager,19,3,4,97
D2_U05,manager,20,3,6,129
D2_U05,manager,21,4,14,109
D2_U05,manager,22,11,12,28
D2_U05,manager,23,9,12,136
D2_U05,manager,24,9,8,81
D2_U05,manager,25,2,10,94
D2_U05,manager,26,7,12,50
D2_U05,manager,27,9,11,72
D2_U05,manager,28,4,6,44
D2_U05,manager,29,21,12,24
D2_U05,manager,30,12,10,18
D2_U06,manager,1,4,7,139
D2_U06,manager,2,16,9,98
D2_U06,manager,3,1,9,32
D2_U06,manager,4,9,10,32
D2_U06,manager,5,5,9,64
D2_U06,manager,6,0,11,64
D2_U06,manager,7,9,16,91
D2_U06,manager,8,1,11,48
D2_U06,manager,9,16,9,72
