user_id,role,day,login_hour,files_accessed,session_minutes,risk_level
MR_U01,contractor,1,23,280,583,high
MR_U01,contractor,2,3,197,747,high
MR_U01,contractor,3,23,120,569,high
MR_U01,contractor,4,22,176,634,high
MR_U01,contractor,5,22,231,427,high
MR_U01,contractor,6,1,133,417,high
MR_U01,contractor,7,1,179,549,high
MR_U01,contractor,8,0,189,653,high
MR_U01,contractor,9,0,182,473,high
MR_U01,contractor,10,23,232,840,high
MR_U01,contractor,11,3,230,546,high
MR_U01,contractor,12,0,135,882,high
MR_U01,contractor,13,23,103,601,high
MR_U01,contractor,14,3,209,874,high
MR_U01,contractor,15,0,109,627,high
MR_U01,contractor,16,23,281,798,high
MR_U01,contractor,17,0,114,665,high
MR_U01,contractor,18,2,252,813,high
MR_U01,contractor,19,1,260,513,high
MR_U01,contractor,20,3,235,850,high
MR_U01,contractor,21,22,244,593,high
MR_U01,contractor,22,1,111,530,high
MR_U01,contractor,23,22,244,822,high
MR_U01,contractor,24,0,282,457,high
MR_U01,contractor,25,23,132,845,high
MR_U01,contractor,26,1,140,734,high
MR_U01,contractor,27,23,209,732,high
MR_U01,contractor,28,23,253,712,high
MR_U01,contractor,29,3,214,827,high
MR_U01,contractor,30,3,180,622,high
MR_U02,manager,1,0,251,752,high
MR_U02,manager,2,23,276,822,high
MR_U02,manager,3,0,286,677,high
MR_U02,manager,4,3,139,833,high
MR_U02,manager,5,0,177,834,high
MR_U02,manager,6,0,155,487,high
MR_U02,manager,7,1,162,736,high
MR_U02,manager,8,0,205,833,high
MR_U02,manager,9,23,156,520,high
MR_U02,manager,10,23,107,453,high
MR_U02,manager,11,23,188,579,high
MR_U02,manager,12,1,286,765,high
MR_U02,manager,13,22,257,724,high
MR_U02,manager,14,22,183,585,high
MR_U02,manager,15,1,178,443,high
MR_U02,manager,16,22,149,763,high
MR_U02,manager,17,1,205,449,high
MR_U02,manager,18,22,243,701,high
MR_U02,manager,19,22,294,685,high
MR_U02,manager,20,22,174,437,high
MR_U02,manager,21,2,246,565,high
MR_U02,manager,22,0,282,559,high
MR_U02,manager,23,22,215,556,high
MR_U02,manager,24,0,197,695,high
MR_U02,manager,25,1,237,554,high
MR_U02,manager,26,3,192,601,high
MR_U02,manager,27,23,274,653,high
MR_U02,manager,28,0,231,837,high
MR_U02,manager,29,1,128,431,high
MR_U02,manager,30,1,100,560,high
MR_U03,manager,1,22,258,458,high
MR_U03,manager,2,22,157,787,high
MR_U03,manager,3,0,158,692,high
MR_U03,manager,4,22,275,681,high
MR_U03,manager,5,2,264,601,high
MR_U03,manager,6,3,213,693,high
MR_U03,manager,7,3,257,403,high
MR_U03,manager,8,0,145,771,high
MR_U03,manager,9,22,299,580,high
MR_U03,manager,10,0,261,764,high
MR_U03,manager,11,0,103,713,high
MR_U03,manager,12,1,168,451,high
MR_U03,manager,13,0,192,735,high
MR_U03,manager,14,1,217,596,high
MR_U03,manager,15,23,224,570,high
MR_U03,manager,16,3,106,695,high
MR_U03,manager,17,23,104,779,high
MR_U03,manager,18,22,259,713,high
MR_U03,manager,19,1,175,581,high
MR_U03,manager,20,0,229,701,high
MR_U03,manager,21,22,140,673,high
MR_U03,manager,22,2,254,436,high
MR_U03,manager,23,23,260,727,high
MR_U03,manager,24,3,166,559,high
